circuitId,raceId,race_prcp,quali_prcp,fp1_prcp,fp2_prcp,fp3_prcp,sprint_prcp
19,139,\N,\N,\N,\N,\N,\N
22,140,\N,\N,\N,\N,\N,\N
1,141,\N,\N,\N,\N,\N,\N
2,142,\N,\N,\N,\N,\N,\N
18,143,\N,\N,\N,\N,\N,\N
21,144,\N,\N,\N,\N,\N,\N
4,145,\N,\N,\N,\N,\N,\N
70,146,\N,\N,\N,\N,\N,\N
6,147,\N,\N,\N,\N,\N,\N
7,148,\N,\N,\N,\N,\N,\N
20,149,\N,\N,\N,\N,\N,\N
8,150,\N,\N,\N,\N,\N,\N
9,151,\N,\N,\N,\N,\N,\N
10,152,\N,\N,\N,\N,\N,\N
11,153,\N,\N,\N,\N,\N,\N
13,154,\N,\N,\N,\N,\N,\N
14,155,\N,\N,\N,\N,\N,\N
19,156,\N,\N,\N,\N,\N,\N
22,157,\N,\N,\N,\N,\N,\N
1,158,\N,\N,\N,\N,\N,\N
18,159,\N,\N,\N,\N,\N,\N
21,160,\N,\N,\N,\N,\N,\N
9,161,\N,\N,\N,\N,\N,\N
4,162,\N,\N,\N,\N,\N,\N
20,163,\N,\N,\N,\N,\N,\N
6,164,\N,\N,\N,\N,\N,\N
7,165,\N,\N,\N,\N,\N,\N
8,166,\N,\N,\N,\N,\N,\N
70,167,\N,\N,\N,\N,\N,\N
10,168,\N,\N,\N,\N,\N,\N
11,169,\N,\N,\N,\N,\N,\N
13,170,\N,\N,\N,\N,\N,\N
14,171,\N,\N,\N,\N,\N,\N
19,172,\N,\N,\N,\N,\N,\N
22,173,\N,\N,\N,\N,\N,\N
2,174,\N,\N,\N,\N,\N,\N
3,337,0.0,\N,\N,\N,\N,\N
1,338,0.0,\N,\N,\N,\N,\N
2,339,0.0,\N,\N,\N,\N,\N
17,340,0.0,\N,\N,\N,\N,\N
4,341,0.0,\N,\N,\N,\N,\N
6,342,0.0,\N,\N,\N,\N,\N
5,343,0.0,\N,\N,\N,\N,\N
7,344,0.0,\N,\N,\N,\N,\N
12,345,0.0,\N,\N,\N,\N,\N
9,346,0.0,\N,\N,\N,\N,\N
10,347,0.0,\N,\N,\N,\N,\N
11,348,0.0,\N,\N,\N,\N,\N
13,349,0.4,\N,\N,\N,\N,\N
14,350,0.0,\N,\N,\N,\N,\N
15,351,0.0,\N,\N,\N,\N,\N
22,352,0.0,\N,\N,\N,\N,\N
35,353,0.0,\N,\N,\N,\N,\N
18,354,0.0,\N,\N,\N,\N,\N
24,355,0.0,\N,\N,\N,\N,\N
1,841,0.0,\N,\N,\N,\N,\N
2,842,0.0,\N,\N,\N,\N,\N
17,843,0.0,\N,\N,\N,\N,\N
5,844,0.0,\N,\N,\N,\N,\N
4,845,0.0,\N,\N,\N,\N,\N
6,846,0.0,\N,\N,\N,\N,\N
7,847,0.0,\N,\N,\N,\N,\N
12,848,0.0,\N,\N,\N,\N,\N
9,849,0.0,\N,\N,\N,\N,\N
20,850,0.0,\N,\N,\N,\N,\N
11,851,0.0,\N,\N,\N,\N,\N
13,852,0.0,\N,\N,\N,\N,\N
14,853,0.0,\N,\N,\N,\N,\N
15,854,0.0,\N,\N,\N,\N,\N
22,855,0.0,\N,\N,\N,\N,\N
35,856,0.0,\N,\N,\N,\N,\N
68,857,\N,\N,\N,\N,\N,\N
24,858,0.0,\N,\N,\N,\N,\N
18,859,0.0,\N,\N,\N,\N,\N
1,860,0.0,\N,\N,\N,\N,\N
2,861,0.0,\N,\N,\N,\N,\N
17,862,0.0,\N,\N,\N,\N,\N
3,863,0.0,\N,\N,\N,\N,\N
4,864,0.0,\N,\N,\N,\N,\N
6,865,0.2,\N,\N,\N,\N,\N
7,866,0.0,\N,\N,\N,\N,\N
12,867,0.0,\N,\N,\N,\N,\N
9,868,0.0,\N,\N,\N,\N,\N
